,s1_open,s2_open
534,4.033,5.5
535,3.944,5.451
536,4.024,5.588
537,4.113,5.49
538,4.131,5.529
539,4.078,5.549
540,4.078,5.549
541,3.989,5.432
542,4.042,5.52
543,4.006,5.637
544,3.971,5.666
545,4.095,5.764
546,4.069,5.774
547,4.104,5.881
548,4.14,5.744
549,4.149,5.695
550,4.051,5.52
551,4.06,5.441
552,4.167,5.402
553,4.158,5.354
554,4.256,5.412
555,4.247,5.334
556,4.158,5.285
557,4.095,5.295
558,4.095,5.373
559,3.917,5.383
560,3.908,5.373
561,3.917,5.178
562,3.9,4.914
563,3.917,4.904
564,3.891,4.865
565,3.846,4.885
566,3.81,4.885
567,3.864,4.924
568,3.873,4.865
569,3.873,4.806
570,3.784,4.767
571,3.668,4.855
572,3.677,4.855
573,3.624,4.816
574,3.65,4.797
575,3.659,4.826
576,3.686,4.816
577,3.65,4.797
578,3.615,4.973
579,3.597,4.943
580,3.624,4.933
581,3.632,4.953
582,3.615,4.943
583,3.624,4.924
584,3.632,4.865
585,3.597,4.767
586,3.597,4.787
587,3.695,4.885
588,3.677,4.855
589,3.686,4.894
590,3.686,4.885
591,3.677,4.846
592,3.668,4.865
593,3.624,4.836
594,3.677,4.767
595,3.65,4.826
596,3.713,4.846
597,3.677,4.924
598,3.686,4.904
599,3.659,4.914
600,3.632,5.012
601,3.641,5.129
602,3.641,5.1
603,3.597,5.09
604,3.632,5.08
605,3.65,5.1
606,3.686,5.227
607,3.668,5.187
608,3.659,5.197
609,3.713,5.158
610,3.748,5.119
611,3.73,5.109
612,3.757,5.119
613,3.739,5.148
614,3.739,5.129
615,3.784,5.207
616,3.819,5.256
617,3.793,5.08
618,3.784,5.119
619,3.748,5.148
620,3.766,5.168
621,3.766,5.168
622,3.757,5.158
623,3.748,5.158
624,3.766,5.158
625,3.784,5.217
626,3.704,5.256
627,3.721,5.236
628,3.721,5.178
629,3.695,5.246
630,3.704,5.373
631,3.713,5.393
632,3.704,5.373
633,3.713,5.383
634,3.73,5.461
635,3.748,5.354
636,3.757,5.334
637,3.748,5.265
638,3.775,5.197
639,3.864,5.226
640,3.891,5.236
641,3.855,5.207
642,3.882,5.187
643,3.926,5.118
644,3.971,5.158
645,3.971,5.187
646,3.9,5.334
647,3.936,5.471
648,3.917,5.461
649,3.908,5.373
650,3.908,5.422
651,3.88,5.363
652,3.862,5.393
653,3.871,5.52
654,3.945,5.51
655,4.028,5.49
656,4.185,5.481
657,4.185,5.461
658,4.12,5.334
659,4.175,5.353
660,4.129,5.295
661,4.102,5.295
662,4.175,5.363
663,4.139,5.402
664,4.194,5.481
665,4.194,5.422
666,4.258,5.569
667,4.24,5.53
668,4.332,5.441
669,4.314,5.569
670,4.286,5.539
671,4.277,5.539
672,4.222,5.745
673,4.231,5.794
674,4.194,5.715
675,4.175,5.725
676,4.166,5.755
677,4.129,5.852
678,4.24,5.764
679,4.185,5.764
680,4.139,5.715
681,4.194,5.735
682,4.231,5.823
683,4.212,5.823
684,4.166,5.931
685,4.157,6.264
686,4.129,6.224
687,4.203,6.352
688,4.166,6.704
689,4.12,6.596
690,4.139,6.557
691,4.157,6.675
692,4.185,6.577
693,4.185,6.547
694,4.249,6.557
695,4.387,6.459
696,4.434,6.43
697,4.553,6.479
698,4.443,6.635
699,4.415,6.586
700,4.498,6.361
701,4.397,6.312
702,4.434,6.215
703,4.47,6.078
704,4.424,6.127
705,4.424,6.361
706,4.443,6.518
707,4.489,6.508
708,4.507,6.166
709,4.378,6.303
710,4.387,6.312
711,4.24,6.322
712,4.212,6.234
713,4.212,6.087
714,4.304,6.068
715,4.286,6.117
716,4.286,6.117
717,4.129,5.97
718,4.139,6.087
719,4.148,6.038
720,4.175,5.892
721,4.203,5.95
722,4.175,5.97
723,4.139,6.097
724,4.157,6.166
725,4.166,6.43
726,4.129,6.371
727,4.166,6.557
728,4.157,6.469
729,4.166,6.332
730,4.212,6.293
731,4.194,6.342
732,4.194,6.391
733,4.222,6.518
734,4.268,6.489
735,4.258,6.44
736,4.323,6.508
737,4.286,6.606
738,4.249,6.635
739,4.212,6.635
740,4.166,6.733
741,4.092,6.724
742,4.12,6.802
743,4.12,7.037
744,4.111,6.958
745,4.157,7.095
746,4.212,7.183
747,4.212,7.262
748,4.194,7.291
749,4.194,7.095
750,4.166,7.135
751,4.222,7.105
752,4.258,7.174
753,4.277,7.193
754,4.295,7.311
755,4.443,7.311
756,4.434,7.252
757,4.415,7.154
758,4.341,7.144
759,4.387,7.144
760,4.36,7.056
761,4.48,6.988
762,4.461,7.144
763,4.535,7.262
764,4.516,7.242
765,4.544,7.242
766,4.461,7.418
767,4.47,7.467
768,4.461,7.536
769,4.461,7.438
770,4.424,7.321
